 


  
  

NCAA Men's Basketball
Division IScoring Margin
Through Games 03/15/2009


"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","North Carolina","32","28-4","2886","90.2","2329","72.8","17.4"
"2","Gonzaga","30","26-5","2364","78.8","1847","61.6","17.2"
"3","Memphis","34","31-3","2518","74.1","1934","56.9","17.2"
"4","Missouri","34","28-6","2758","81.1","2260","66.5","14.6"
"5","Pittsburgh","32","28-4","2495","78.0","2049","64.0","13.9"
"6","UConn","31","27-4","2397","77.3","1983","64.0","13.4"
"7","Davidson","33","26-7","2586","78.4","2163","65.5","12.8"
"8","UCLA","33","25-8","2508","76.0","2088","63.3","12.7"
"9","BYU","32","25-7","2478","77.4","2071","64.7","12.7"
"10","Duke","34","28-6","2653","78.0","2231","65.6","12.4"
"11","Louisville","33","28-5","2440","73.9","2033","61.6","12.3"
"12","North Dakota St.","32","26-6","2585","80.8","2195","68.6","12.2"
"13","Oklahoma","32","27-5","2534","79.2","2170","67.8","11.4"
"14","Kansas","32","25-7","2468","77.1","2106","65.8","11.3"
"15","Wake Forest","30","24-6","2441","81.4","2109","70.3","11.1"
"16","Utah St.","34","30-4","2477","72.9","2111","62.1","10.8"
"","West Virginia","34","23-11","2461","72.4","2095","61.6","10.8"
"18","Clemson","31","23-8","2448","79.0","2115","68.2","10.7"
"19","SFA","31","24-7","2055","66.3","1736","56.0","10.3"
"20","Butler","31","26-5","2097","67.6","1779","57.4","10.3"
"21","Purdue","34","25-9","2358","69.4","2010","59.1","10.2"
"22","Xavier","32","25-7","2316","72.4","1997","62.4","10.0"
"23","Vermont","31","23-8","2387","77.0","2079","67.1","9.9"
"24","Cornell","30","21-9","2222","74.1","1929","64.3","9.8"
"25","Florida","33","23-10","2554","77.4","2234","67.7","9.7"
"26","Saint Mary's (CA)","32","26-6","2355","73.6","2048","64.0","9.6"
"27","Villanova","33","26-7","2526","76.5","2211","67.0","9.5"
"28","Kansas St.","32","21-11","2421","75.7","2117","66.2","9.5"
"29","Arizona St.","33","24-9","2295","69.5","1982","60.1","9.5"
"30","LSU","33","26-7","2472","74.9","2161","65.5","9.4"
"31","Marquette","33","24-9","2602","78.8","2292","69.5","9.4"
"32","Washington","33","25-8","2605","78.9","2297","69.6","9.3"
"33","UT Martin","31","22-9","2441","78.7","2155","69.5","9.2"
"34","Michigan St.","32","26-6","2301","71.9","2013","62.9","9.0"
"35","Niagara","34","26-8","2603","76.6","2301","67.7","8.9"
"36","Syracuse","35","26-9","2838","81.1","2530","72.3","8.8"
"37","VCU","33","24-9","2376","72.0","2091","63.4","8.6"
"38","ETSU","33","23-10","2595","78.6","2311","70.0","8.6"
"39","Kentucky","33","20-13","2467","74.8","2186","66.2","8.5"
"40","VMI","32","24-8","3002","93.8","2737","85.5","8.3"
"41","Creighton","33","26-7","2429","73.6","2157","65.4","8.2"
"42","Illinois","33","24-9","2132","64.6","1868","56.6","8.0"
"43","Illinois St.","33","24-9","2335","70.8","2072","62.8","8.0"
"44","New Mexico","32","21-11","2359","73.7","2105","65.8","7.9"
"45","Houston","32","21-11","2456","76.8","2210","69.1","7.7"
"46","San Diego St.","32","23-9","2149","67.2","1904","59.5","7.7"
"47","Siena","33","26-7","2563","77.7","2311","70.0","7.6"
"48","South Carolina","30","21-9","2362","78.7","2139","71.3","7.4"
"49","Auburn","33","22-11","2387","72.3","2143","64.9","7.4"
"50","Rhode Island","32","22-10","2556","79.9","2324","72.6","7.3"
"51","Utah","33","24-9","2350","71.2","2111","64.0","7.2"
"52","Cleveland St.","35","25-10","2314","66.1","2063","58.9","7.2"
"53","Akron","35","23-12","2339","66.8","2094","59.8","7.0"
"54","Oklahoma St.","33","22-11","2677","81.1","2449","74.2","6.9"
"55","Texas","33","22-11","2387","72.3","2160","65.5","6.9"
"56","Miami (FL)","30","18-12","2187","72.9","1983","66.1","6.8"
"57","UAB","33","22-11","2397","72.6","2174","65.9","6.8"
"58","Sam Houston St.","30","18-12","2279","76.0","2078","69.3","6.7"
"59","California","32","22-10","2401","75.0","2187","68.3","6.7"
"60","Lipscomb","31","17-14","2368","76.4","2161","69.7","6.7"
"61","Green Bay","32","22-10","2327","72.7","2120","66.3","6.5"
"62","Alabama St.","31","22-9","2159","69.6","1967","63.5","6.2"
"63","Tennessee","33","21-12","2590","78.5","2388","72.4","6.1"
"64","George Mason","32","22-10","2116","66.1","1922","60.1","6.1"
"65","American","31","24-7","1998","64.5","1811","58.4","6.0"
"66","Tulsa","34","24-10","2282","67.1","2077","61.1","6.0"
"67","Mississippi St.","35","23-12","2619","74.8","2408","68.8","6.0"
"68","Belmont","31","19-12","2374","76.6","2188","70.6","6.0"
"","Eastern Ky.","31","18-13","2247","72.5","2061","66.5","6.0"
"","Dayton","33","26-7","2228","67.5","2030","61.5","6.0"
"71","Baylor","34","20-14","2594","76.3","2391","70.3","6.0"
"72","Robert Morris","34","24-10","2405","70.7","2211","65.0","5.7"
"73","Georgetown","30","16-14","2076","69.2","1906","63.5","5.7"
"74","Jacksonville","31","18-13","2301","74.2","2126","68.6","5.6"
"75","Temple","33","22-11","2276","69.0","2092","63.4","5.6"
"76","Portland St.","32","23-9","2362","73.8","2185","68.3","5.5"
"77","Western Ky.","32","24-8","2297","71.8","2123","66.3","5.4"
"78","Notre Dame","32","18-14","2451","76.6","2278","71.2","5.4"
"","Mt. St. Mary's","32","19-13","2183","68.2","2010","62.8","5.4"
"80","Wisconsin","31","19-12","1996","64.4","1829","59.0","5.4"
"81","Texas A&M","32","23-9","2295","71.7","2123","66.3","5.4"
"82","Minnesota","32","22-10","2127","66.5","1956","61.1","5.3"
"83","Old Dominion","31","21-10","2049","66.1","1884","60.8","5.3"
"84","Morgan St.","34","23-11","2279","67.0","2100","61.8","5.3"
"85","Nicholls St.","31","20-11","2029","65.5","1866","60.2","5.3"
"86","Murray St.","31","19-12","2119","68.4","1959","63.2","5.2"
"87","Radford","32","21-11","2433","76.0","2271","71.0","5.1"
"","Ohio St.","32","22-10","2134","66.7","1972","61.6","5.1"
"89","Vanderbilt","31","19-12","2185","70.5","2033","65.6","4.9"
"90","Southern California","33","21-12","2256","68.4","2095","63.5","4.9"
"91","Col. of Charleston","34","26-8","2616","76.9","2451","72.1","4.9"
"92","Liberty","33","22-11","2500","75.8","2341","70.9","4.8"
"93","UNLV","31","21-10","2140","69.0","1991","64.2","4.8"
"94","Nevada","33","21-12","2323","70.4","2170","65.8","4.6"
"95","Nebraska","30","18-12","1928","64.3","1789","59.6","4.6"
"96","Duquesne","33","21-12","2575","78.0","2425","73.5","4.5"
"","Kent St.","33","19-14","2269","68.8","2119","64.2","4.5"
"98","Weber St.","30","21-9","2126","70.9","1990","66.3","4.5"
"99","Boston College","33","22-11","2473","74.9","2325","70.5","4.5"
"100","Oral Roberts","31","16-15","2194","70.8","2058","66.4","4.4"
"101","Middle Tenn.","32","18-14","2254","70.4","2114","66.1","4.4"
"102","Oakland","34","22-12","2544","74.8","2396","70.5","4.4"
"103","Washington St.","32","17-15","1897","59.3","1761","55.0","4.3"
"104","Texas St.","30","14-16","2445","81.5","2319","77.3","4.2"
"105","UNI","33","23-10","2234","67.7","2097","63.5","4.2"
"106","Pacific","31","19-12","2054","66.3","1926","62.1","4.1"
"107","Stony Brook","30","16-14","1951","65.0","1828","60.9","4.1"
"108","Michigan","33","20-13","2216","67.2","2081","63.1","4.1"
"109","Stanford","31","18-13","2260","72.9","2135","68.9","4.0"
"110","Chicago St.","32","19-13","2689","84.0","2561","80.0","4.0"
"","Southeastern La.","30","13-17","2127","70.9","2007","66.9","4.0"
"112","UT Arlington","30","16-14","2341","78.0","2223","74.1","3.9"
"113","Penn St.","33","22-11","2178","66.0","2049","62.1","3.9"
"114","CSUN","30","17-13","2212","73.7","2097","69.9","3.8"
"115","Arizona","32","19-13","2310","72.2","2190","68.4","3.8"
"116","UTSA","32","19-13","2404","75.1","2285","71.4","3.7"
"117","Florida St.","34","25-9","2333","68.6","2210","65.0","3.6"
"118","UTEP","31","19-12","2341","75.5","2229","71.9","3.6"
"119","Sacred Heart","31","17-14","2277","73.5","2167","69.9","3.5"
"120","NC State","30","16-14","2189","73.0","2085","69.5","3.5"
"121","Binghamton","31","23-8","2177","70.2","2070","66.8","3.5"
"122","Bowling Green","32","19-13","2055","64.2","1947","60.8","3.4"
"123","Northwestern","30","17-13","1908","63.6","1808","60.3","3.3"
"124","Portland","31","19-12","2173","70.1","2072","66.8","3.3"
"125","Morehead St.","34","19-15","2399","70.6","2294","67.5","3.1"
"126","Little Rock","31","23-8","2059","66.4","1964","63.4","3.1"
"127","Maryland","33","20-13","2358","71.5","2259","68.5","3.0"
"128","Alabama","32","18-14","2349","73.4","2254","70.4","3.0"
"129","South Alabama","33","20-13","2301","69.7","2204","66.8","2.9"
"130","Richmond","33","18-15","2300","69.7","2209","66.9","2.8"
"131","Buffalo","32","21-11","2082","65.1","1994","62.3","2.8"
"","Wright St.","32","20-13","1915","59.8","1827","57.1","2.8"
"133","Miami (OH)","30","17-13","1847","61.6","1766","58.9","2.7"
"134","North Texas","32","20-12","2472","77.3","2390","74.7","2.6"
"135","Northeastern","30","18-12","1871","62.4","1795","59.8","2.5"
"136","Prairie View","33","17-16","2318","70.2","2235","67.7","2.5"
"137","The Citadel","32","20-12","2147","67.1","2067","64.6","2.5"
"138","James Madison","33","19-14","2340","70.9","2261","68.5","2.4"
"139","South Carolina St.","31","17-14","2166","69.9","2092","67.5","2.4"
"140","Virginia Tech","32","18-14","2288","71.5","2213","69.2","2.3"
"","Holy Cross","32","18-14","2067","64.6","1992","62.3","2.3"
"142","Navy","30","19-11","2129","71.0","2059","68.6","2.3"
"143","La Salle","31","18-13","2207","71.2","2135","68.9","2.3"
"144","Boston U.","30","17-13","2058","68.6","1989","66.3","2.3"
"145","IUPUI","30","16-14","1964","65.5","1899","63.3","2.2"
"146","Drake","32","17-15","2061","64.4","1994","62.3","2.1"
"147","LIU Brooklyn","30","16-14","2119","70.6","2058","68.6","2.0"
"148","Cincinnati","32","18-14","2187","68.3","2123","66.3","2.0"
"","Saint Joseph's","32","17-15","2184","68.3","2120","66.3","2.0"
"150","New Mexico St.","32","17-15","2443","76.3","2380","74.4","2.0"
"151","Evansville","30","17-13","2005","66.8","1946","64.9","2.0"
"152","Providence","32","19-13","2511","78.5","2453","76.7","1.8"
"153","UCF","31","17-14","2222","71.7","2166","69.9","1.8"
"154","UIC","31","16-15","2087","67.3","2035","65.6","1.7"
