"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","Cincinnati","36","31-5","2673","74.3","2071","57.5","16.7"
"2","Villanova","40","36-4","3463","86.6","2807","70.2","16.4"
"3","Gonzaga","37","32-5","3091","83.5","2505","67.7","15.8"
"4","Michigan St.","35","30-5","2807","80.2","2271","64.9","15.3"
"5","Duke","37","29-8","3121","84.4","2576","69.6","14.7"
"6","Purdue","37","30-7","2974","80.4","2431","65.7","14.7"
"7","Virginia","34","31-3","2283","67.1","1836","54.0","13.1"
"8","Saint Mary's (CA)","36","30-6","2772","77.0","2321","64.5","12.5"
"9","Murray St.","32","26-6","2515","78.6","2117","66.2","12.4"
"10","Louisiana","34","27-7","2829","83.2","2408","70.8","12.4"
"11","SFA","35","28-7","2819","80.5","2386","68.2","12.4"
"12","South Dakota","35","26-9","2832","80.9","2404","68.7","12.2"
"13","Houston","35","27-8","2685","76.7","2271","64.9","11.8"
"14","Northern Ky.","32","22-10","2486","77.7","2112","66.0","11.7"
"15","New Mexico St.","34","28-6","2572","75.6","2183","64.2","11.4"
"16","Wichita St.","33","25-8","2731","82.8","2364","71.6","11.1"
"17","Furman","33","23-10","2619","79.4","2260","68.5","10.9"
"18","UNC Greensboro","35","27-8","2562","73.2","2189","62.5","10.7"
"19","Old Dominion","32","25-7","2347","73.3","2010","62.8","10.5"
"20","West Virginia","37","26-11","2964","80.1","2575","69.6","10.5"
"21","South Dakota St.","35","28-7","2958","84.5","2599","74.3","10.3"
"22","Utah Valley","34","23-11","2657","78.1","2310","67.9","10.2"
"23","Michigan","40","32-8","2933","73.3","2530","63.3","10.1"
"24","Texas Tech","37","27-10","2759","74.6","2397","64.8","9.8"
"25","Xavier","35","29-6","2953","84.4","2616","74.7","9.6"
"26","Kansas","39","31-8","3174","81.4","2801","71.8","9.6"
"27","Nevada","37","29-8","3055","82.6","2703","73.1","9.5"
"28","FGCU","35","23-12","2847","81.3","2515","71.9","9.5"
"29","Creighton","33","21-12","2756","83.5","2444","74.1","9.5"
"30","ETSU","34","25-9","2556","75.2","2241","65.9","9.3"
"31","San Diego St.","33","22-11","2545","77.1","2240","67.9","9.2"
"32","Boise St.","32","23-9","2502","78.2","2210","69.1","9.1"
"33","Loyola Chicago","38","32-6","2721","71.6","2377","62.6","9.1"
"34","Vermont","35","27-8","2587","73.9","2277","65.1","8.9"
"35","Arizona","35","27-8","2818","80.5","2509","71.7","8.8"
"36","Middle Tenn.","33","25-8","2479","75.1","2188","66.3","8.8"
"37","Grand Canyon","34","22-12","2512","73.9","2213","65.1","8.8"
"38","Montana","34","26-8","2625","77.2","2329","68.5","8.7"
"39","Auburn","34","26-8","2783","81.9","2488","73.2","8.7"
"40","Ohio St.","34","25-9","2591","76.2","2297","67.6","8.6"
"41","Buffalo","36","27-9","3047","84.6","2742","76.2","8.5"
"42","Davidson","33","21-12","2519","76.3","2240","67.9","8.5"
"43","Belmont","33","24-9","2562","77.6","2284","69.2","8.4"
"44","North Carolina","37","26-11","3018","81.6","2711","73.3","8.3"
"45","Northern Colo.","38","26-12","3082","81.1","2772","72.9","8.2"
"46","Tennessee","35","26-9","2584","73.8","2301","65.7","8.1"
"47","Fresno St.","32","21-11","2459","76.8","2201","68.8","8.1"
"48","Penn St.","39","26-13","2915","74.7","2601","66.7","8.1"
"49","Western Ky.","38","27-11","2979","78.4","2674","70.4","8.0"
"50","Bucknell","35","25-10","2837","81.1","2559","73.1","7.9"
"51","Clemson","35","25-10","2584","73.8","2307","65.9","7.9"
"52","Winthrop","31","19-12","2464","79.5","2219","71.6","7.9"
"53","Arizona St.","32","20-12","2645","82.7","2395","74.8","7.8"
"54","Weber St.","31","20-11","2434","78.5","2195","70.8","7.7"
"55","Virginia Tech","33","21-12","2634","79.8","2382","72.2","7.6"
"56","Georgia St.","35","24-11","2614","74.7","2356","67.3","7.4"
"57","Liberty","37","22-15","2621","70.8","2353","63.6","7.2"
"58","Florida St.","35","23-12","2804","80.1","2551","72.9","7.2"
"59","Rhode Island","34","26-8","2583","76.0","2338","68.8","7.2"
"60","Nicholls St.","32","21-11","2641","82.5","2411","75.3","7.2"
"61","UAB","33","20-13","2536","76.8","2303","69.8","7.1"
"62","Penn","33","24-9","2506","75.9","2274","68.9","7.0"
"63","TCU","33","21-12","2708","82.1","2487","75.4","6.7"
"64","UC Santa Barbara","32","23-9","2425","75.8","2211","69.1","6.7"
"65","Florida","34","21-13","2577","75.8","2353","69.2","6.6"
"66","Southern California","36","24-12","2798","77.7","2563","71.2","6.5"
"67","BYU","35","24-11","2600","74.3","2372","67.8","6.5"
"68","Kentucky","37","26-11","2840","76.8","2599","70.2","6.5"
"69","Butler","35","21-14","2763","78.9","2540","72.6","6.4"
"70","Idaho","31","22-9","2330","75.2","2134","68.8","6.3"
"71","Notre Dame","36","21-15","2698","74.9","2471","68.6","6.3"
"72","St. Bonaventure","34","26-8","2620","77.1","2407","70.8","6.3"
"73","NC State","33","21-12","2682","81.3","2477","75.1","6.2"
"74","Maryland","32","19-13","2338","73.1","2140","66.9","6.2"
"75","Lamar University","33","19-14","2500","75.8","2296","69.6","6.2"
"76","Northeastern","33","23-10","2472","74.9","2270","68.8","6.1"
"77","Jacksonville St.","36","23-13","2587","71.9","2369","65.8","6.1"
"78","Albany (NY)","32","22-10","2375","74.2","2182","68.2","6.0"
"79","Col. of Charleston","34","26-8","2536","74.6","2331","68.6","6.0"
"80","Baylor","34","19-15","2569","75.6","2369","69.7","5.9"
