"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","Michigan St.","31","26-5","2501","80.7","1978","63.8","16.9"
"2","SFA","30","25-5","2397","79.9","1893","63.1","16.8"
"3","Kansas","32","28-4","2622","81.9","2166","67.7","14.3"
"4","Wichita St.","32","24-8","2343","73.2","1896","59.3","14.0"
"5","Saint Mary's (CA)","32","27-5","2397","74.9","1951","61.0","13.9"
"6","Villanova","32","28-4","2474","77.3","2029","63.4","13.9"
"7","Indiana","31","25-6","2564","82.7","2133","68.8","13.9"
"8","SMU","30","25-5","2319","77.3","1903","63.4","13.9"
"9","Louisville","31","23-8","2324","75.0","1895","61.1","13.8"
"10","West Virginia","32","25-7","2553","79.8","2117","66.2","13.6"
"11","Stony Brook","31","25-6","2378","76.7","1956","63.1","13.6"
"12","Valparaiso","32","26-6","2425","75.8","1991","62.2","13.6"
"13","Gonzaga","33","26-7","2630","79.7","2186","66.2","13.5"
"14","Purdue","31","24-7","2416","77.9","2013","64.9","13.0"
"15","Arizona","32","25-7","2591","81.0","2182","68.2","12.8"
"16","North Carolina","32","26-6","2658","83.1","2259","70.6","12.5"
"17","Yale","28","22-6","2105","75.2","1768","63.1","12.0"
"18","BYU","33","23-10","2758","83.6","2382","72.2","11.4"
"19","Virginia","31","25-6","2192","70.7","1840","59.4","11.4"
"20","Hawaii","30","25-5","2331","77.7","1992","66.4","11.3"
"21","Little Rock","31","27-4","2199","70.9","1853","59.8","11.2"
"22","Kentucky","31","23-8","2449","79.0","2105","67.9","11.1"
"23","Princeton","28","22-6","2213","79.0","1903","68.0","11.1"
"24","Cincinnati","31","22-9","2245","72.4","1908","61.5","10.9"
"25","Xavier","31","27-4","2520","81.3","2186","70.5","10.8"
"","UT Arlington","31","22-9","2484","80.1","2150","69.4","10.8"
"27","Oklahoma","31","25-6","2506","80.8","2185","70.5","10.4"
"28","Texas A&M","31","24-7","2361","76.2","2042","65.9","10.3"
"29","Weber St.","32","24-8","2464","77.0","2136","66.8","10.3"
"30","Maryland","31","24-7","2352","75.9","2037","65.7","10.2"
"","UConn","31","21-10","2243","72.4","1928","62.2","10.2"
"32","VCU","31","22-9","2390","77.1","2077","67.0","10.1"
"33","Albany (NY)","32","24-8","2405","75.2","2086","65.2","10.0"
"34","Utah","32","25-7","2500","78.1","2185","68.3","9.8"
"35","CSU Bakersfield","30","22-8","2208","73.6","1921","64.0","9.6"
"36","Butler","31","21-10","2498","80.6","2206","71.2","9.4"
"37","UAB","32","26-6","2527","79.0","2226","69.6","9.4"
"","Vanderbilt","32","19-13","2456","76.8","2155","67.3","9.4"
"39","Houston","30","22-8","2345","78.2","2063","68.8","9.4"
"40","Duke","33","23-10","2688","81.5","2378","72.1","9.4"
"41","Iowa","31","21-10","2421","78.1","2130","68.7","9.4"
