 


  
  

NCAA Men's Basketball
Division IScoring Margin
Through Games 03/13/2014


"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","Louisville","32","27-5","2627","82.1","1945","60.8","21.3"
"2","Louisiana Tech","32","26-6","2607","81.5","2084","65.1","16.3"
"3","Wichita St.","34","34-0","2566","75.5","2026","59.6","15.9"
"4","N.C. Central","31","26-5","2299","74.2","1823","58.8","15.4"
"5","Arizona","32","29-3","2350","73.4","1859","58.1","15.3"
"6","San Diego St.","31","28-3","2213","71.4","1754","56.6","14.8"
"7","SFA","31","29-2","2371","76.5","1940","62.6","13.9"
"8","Harvard","30","26-4","2209","73.6","1815","60.5","13.1"
"9","Florida","31","29-2","2216","71.5","1812","58.5","13.0"
"10","Mercer","34","26-8","2695","79.3","2256","66.4","12.9"
"11","Creighton","31","25-6","2481","80.0","2082","67.2","12.9"
"12","Duke","31","24-7","2473","79.8","2080","67.1","12.7"
"13","Villanova","32","28-4","2513","78.5","2131","66.6","11.9"
"14","Iowa","32","20-12","2624","82.0","2243","70.1","11.9"
"15","Gonzaga","34","28-6","2615","76.9","2211","65.0","11.9"
"16","Utah","32","21-11","2421","75.7","2052","64.1","11.5"
"17","Oklahoma St.","33","21-12","2651","80.3","2280","69.1","11.2"
"18","North Dakota St.","31","25-6","2368","76.4","2026","65.4","11.0"
"19","Virginia","31","25-6","2055","66.3","1718","55.4","10.9"
"20","UCLA","32","24-8","2623","82.0","2276","71.1","10.8"
"21","Cincinnati","32","27-5","2212","69.1","1867","58.3","10.8"
"22","Pittsburgh","32","24-8","2336","73.0","1994","62.3","10.7"
"23","Tennessee","31","20-11","2246","72.5","1915","61.8","10.7"
"24","Green Bay","30","24-6","2239","74.6","1919","64.0","10.7"
"25","Vermont","32","22-10","2278","71.2","1937","60.5","10.7"
"26","Ohio St.","32","24-8","2233","69.8","1893","59.2","10.6"
"27","Michigan St.","31","23-8","2363","76.2","2040","65.8","10.4"
"28","Michigan","30","23-7","2264","75.5","1956","65.2","10.3"
"29","Southern Miss.","32","27-5","2316","72.4","1989","62.2","10.2"
"30","New Mexico St.","33","24-9","2556","77.5","2224","67.4","10.1"
"31","VCU","31","24-7","2343","75.6","2032","65.5","10.0"
"32","Kansas","32","24-8","2544","79.5","2231","69.7","9.8"
"33","Georgia St.","31","24-7","2422","78.1","2125","68.5","9.6"
"34","UConn","32","25-7","2324","72.6","2019","63.1","9.5"
"35","Kentucky","31","22-9","2366","76.3","2080","67.1","9.2"
"36","Saint Louis","31","26-5","2172","70.1","1888","60.9","9.2"
"37","SMU","32","23-9","2284","71.4","1993","62.3","9.1"
"38","Charleston So.","31","13-18","2523","81.4","2242","72.3","9.1"
"39","Syracuse","31","27-4","2118","68.3","1838","59.3","9.0"
"40","Arkansas","32","21-11","2568","80.3","2279","71.2","9.0"
"41","Wisconsin","31","25-6","2269","73.2","1991","64.2","9.0"
"42","Iowa St.","31","24-7","2567","82.8","2291","73.9","8.9"
"43","Middle Tenn.","32","24-8","2270","70.9","1991","62.2","8.7"
"44","New Mexico","31","25-6","2329","75.1","2065","66.6","8.5"
"45","Southern U.","32","19-13","2278","71.2","2006","62.7","8.5"
"46","Eastern Ky.","33","24-9","2608","79.0","2331","70.6","8.4"
"47","Oregon","32","23-9","2619","81.8","2368","74.0","7.8"
"48","UC Irvine","33","23-10","2356","71.4","2102","63.7","7.7"
"49","North Carolina","31","23-8","2367","76.4","2130","68.7","7.6"
"50","Boise St.","33","21-12","2524","76.5","2277","69.0","7.5"
"51","Manhattan","32","25-7","2476","77.4","2240","70.0","7.4"
"52","George Washington","30","23-7","2209","73.6","1989","66.3","7.3"
"53","Princeton","28","20-8","2006","71.6","1804","64.4","7.2"
"54","Memphis","32","23-9","2483","77.6","2253","70.4","7.2"
"55","BYU","34","23-11","2863","84.2","2619","77.0","7.2"
"56","Cleveland St.","32","21-11","2348","73.4","2122","66.3","7.1"
"57","Toledo","31","26-5","2499","80.6","2282","73.6","7.0"
"","Baylor","33","23-10","2481","75.2","2250","68.2","7.0"
"59","Sam Houston St.","31","22-9","2386","77.0","2174","70.1","6.8"
"60","Hawaii","31","20-11","2479","80.0","2270","73.2","6.7"
"61","Louisiana","31","20-11","2523","81.4","2317","74.7","6.6"
"62","Purdue Fort Wayne","34","24-10","2582","75.9","2358","69.4","6.6"
"63","Weber St.","28","17-11","2041","72.9","1863","66.5","6.4"
"64","Iona","32","22-10","2672","83.5","2471","77.2","6.3"
"","Oklahoma","32","23-9","2629","82.2","2428","75.9","6.3"
"66","Saint Mary's (CA)","33","22-11","2377","72.0","2171","65.8","6.2"
"67","UNLV","32","20-12","2304","72.0","2105","65.8","6.2"
"68","Buffalo","29","19-10","2132","73.5","1952","67.3","6.2"
"69","Arizona St.","32","21-11","2401","75.0","2204","68.9","6.2"
"70","Davidson","32","20-12","2514","78.6","2319","72.5","6.1"
"71","UTEP","33","23-10","2291","69.4","2091","63.4","6.1"
"72","VMI","31","19-12","2718","87.7","2531","81.6","6.0"
"73","Dayton","32","23-9","2355","73.6","2162","67.6","6.0"
"","Stony Brook","32","23-9","2311","72.2","2118","66.2","6.0"
"75","UC Santa Barbara","30","21-9","2137","71.2","1960","65.3","5.9"
"76","Belmont","33","24-9","2646","80.2","2452","74.3","5.9"
"77","Stanford","32","21-11","2367","74.0","2181","68.2","5.8"
"78","Massachusetts","31","24-7","2358","76.1","2179","70.3","5.8"
"79","St. John's (NY)","32","20-12","2325","72.7","2145","67.0","5.6"
"80","Tulsa","31","19-12","2267","73.1","2094","67.5","5.6"
"","Clemson","31","20-11","1965","63.4","1792","57.8","5.6"
"82","American","32","20-12","2046","63.9","1876","58.6","5.3"
"83","Arkansas St.","30","18-12","2271","75.7","2113","70.4","5.3"
"84","Wofford","32","20-12","2165","67.7","1997","62.4","5.3"
"85","Eastern Mich.","34","21-13","2263","66.6","2088","61.4","5.1"
"86","Florida St.","31","19-12","2202","71.0","2043","65.9","5.1"
"87","Wright St.","34","20-14","2292","67.4","2119","62.3","5.1"
"88","FGCU","34","22-12","2451","72.1","2281","67.1","5.0"
"89","Towson","33","23-10","2414","73.2","2253","68.3","4.9"
"90","Ohio","34","23-11","2437","71.7","2272","66.8","4.9"
"91","Columbia","31","19-12","2117","68.3","1967","63.5","4.8"
"92","Valparaiso","33","18-15","2383","72.2","2225","67.4","4.8"
"93","Texas","32","23-9","2377","74.3","2225","69.5","4.8"
"94","Indiana","32","17-15","2312","72.3","2162","67.6","4.7"
"95","Xavier","32","21-11","2305","72.0","2156","67.4","4.7"
"96","Western Mich.","30","21-9","2158","71.9","2021","67.4","4.6"
"97","Murray St.","29","18-11","2247","77.5","2116","73.0","4.5"
"98","LSU","31","19-12","2335","75.3","2195","70.8","4.5"
