"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","North Carolina","37","33-4","3257","88.0","2600","70.3","17.8"
"2","Louisville","38","33-5","3066","80.7","2436","64.1","16.6"
"3","Illinois","39","37-2","3002","77.0","2382","61.1","15.9"
"4","Utah St.","32","24-8","2315","72.3","1848","57.8","14.6"
"5","Oklahoma St.","33","26-7","2583","78.3","2151","65.2","13.1"
"6","Florida","32","24-8","2438","76.2","2020","63.1","13.1"
"7","Michigan St.","33","26-7","2590","78.5","2159","65.4","13.1"
"8","Duke","33","27-6","2581","78.2","2153","65.2","13.0"
"9","Washington","35","29-6","3026","86.5","2596","74.2","12.3"
"10","Oklahoma","33","25-8","2480","75.2","2088","63.3","11.9"
"11","Cincinnati","33","25-8","2505","75.9","2130","64.5","11.4"
"12","New Mexico","33","26-7","2492","75.5","2121","64.3","11.2"
"13","UConn","31","23-8","2419","78.0","2072","66.8","11.2"
"14","Kentucky","34","28-6","2503","73.6","2127","62.6","11.1"
"15","Wake Forest","33","27-6","2801","84.9","2441","74.0","10.9"
"16","Alabama","32","24-8","2426","75.8","2083","65.1","10.7"
"17","Utah","35","29-6","2379","68.0","2005","57.3","10.7"
"18","Milwaukee","32","26-6","2400","75.0","2059","64.3","10.7"
"19","Villanova","32","24-8","2336","73.0","1996","62.4","10.6"
"20","Syracuse","34","27-7","2548","74.9","2197","64.6","10.3"
"","Old Dominion","34","28-6","2430","71.5","2079","61.1","10.3"
"22","A&M-Corpus Christi","28","20-8","2102","75.1","1818","64.9","10.1"
"23","Holy Cross","32","25-7","2140","66.9","1817","56.8","10.1"
"24","Texas A&M","31","21-10","2282","73.6","1970","63.5","10.1"
"25","Arizona","37","30-7","2948","79.7","2579","69.7","10.0"
"26","Kansas","30","23-7","2251","75.0","1956","65.2","9.8"
"27","Vermont","32","25-7","2299","71.8","1987","62.1","9.8"
"28","Oral Roberts","33","25-8","2552","77.3","2231","67.6","9.7"
"29","UTEP","35","27-8","2616","74.7","2278","65.1","9.7"
"30","George Washington","30","22-8","2308","76.9","2021","67.4","9.6"
"31","Gonzaga","31","26-5","2454","79.2","2159","69.6","9.5"
"32","Pittsburgh","29","20-9","2097","72.3","1842","63.5","8.8"
"33","Arkansas","30","18-12","2147","71.6","1885","62.8","8.7"
"34","Winthrop","33","27-6","2245","68.0","1961","59.4","8.6"
"35","Texas","31","20-11","2384","76.9","2124","68.5","8.4"
"36","Pacific","31","27-4","2258","72.8","2011","64.9","8.0"
"37","Boston College","30","25-5","2174","72.5","1935","64.5","8.0"
