"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","Kentucky","31","31-0","2314","74.6","1656","53.4","21.2"
"2","Gonzaga","34","32-2","2690","79.1","2071","60.9","18.2"
"3","Arizona","31","28-3","2376","76.6","1826","58.9","17.7"
"4","Wisconsin","31","28-3","2222","71.7","1728","55.7","15.9"
"5","Sam Houston St.","31","24-7","2295","74.0","1809","58.4","15.7"
"6","Duke","31","28-3","2519","81.3","2037","65.7","15.5"
"7","Utah","30","23-7","2163","72.1","1699","56.6","15.5"
"8","Virginia","30","28-2","1966","65.5","1507","50.2","15.3"
"9","Villanova","31","29-2","2377","76.7","1908","61.5","15.1"
"10","SFA","31","27-4","2448","79.0","1980","63.9","15.1"
"11","Ohio St.","31","22-9","2356","76.0","1908","61.5","14.5"
"12","N.C. Central","30","24-6","2059","68.6","1640","54.7","14.0"
"13","Wichita St.","32","28-4","2231","69.7","1786","55.8","13.9"
"14","Notre Dame","31","26-5","2446","78.9","2023","65.3","13.6"
"15","Davidson","29","23-6","2337","80.6","1979","68.2","12.3"
"16","USC Upstate","34","23-11","2457","72.3","2066","60.8","11.5"
"17","Murray St.","32","27-5","2531","79.1","2167","67.7","11.4"
"18","Central Mich.","29","22-7","2266","78.1","1943","67.0","11.1"
"19","UNI","33","30-3","2157","65.4","1792","54.3","11.1"
"20","BYU","34","25-9","2841","83.6","2467","72.6","11.0"
"21","Boise St.","31","24-7","2189","70.6","1850","59.7","10.9"
"22","Valparaiso","33","28-5","2304","69.8","1956","59.3","10.5"
"23","Louisville","31","24-7","2155","69.5","1835","59.2","10.3"
"24","Georgia St.","31","22-9","2254","72.7","1938","62.5","10.2"
"25","Coastal Caro.","33","24-9","2366","71.7","2035","61.7","10.0"
"26","North Carolina","31","21-10","2423","78.2","2114","68.2","10.0"
"27","Baylor","31","23-8","2161","69.7","1859","60.0","9.7"
"28","Iowa St.","30","22-8","2380","79.3","2088","69.6","9.7"
"","SMU","30","24-6","2086","69.5","1794","59.8","9.7"
"30","Oklahoma","30","21-9","2173","72.4","1892","63.1","9.4"
"31","Michigan St.","31","21-10","2237","72.2","1951","62.9","9.2"
"32","Old Dominion","30","24-6","1974","65.8","1699","56.6","9.2"
"33","Colorado St.","31","26-5","2264","73.0","1980","63.9","9.2"
"34","San Diego St.","31","24-7","1935","62.4","1655","53.4","9.0"
"35","South Dakota St.","33","23-10","2407","72.9","2109","63.9","9.0"
"36","New Mexico St.","31","21-10","2123","68.5","1844","59.5","9.0"
"37","Eastern Ky.","30","19-11","2157","71.9","1890","63.0","8.9"
"38","Butler","31","22-9","2165","69.8","1891","61.0","8.8"
"39","Louisiana Tech","31","24-7","2268","73.2","1998","64.5","8.7"
"40","Hofstra","33","20-13","2587","78.4","2303","69.8","8.6"
"41","Ga. Southern","29","21-8","2032","70.1","1784","61.5","8.6"
"42","Arkansas","31","24-7","2450","79.0","2186","70.5","8.5"
"43","Vermont","31","18-13","2051","66.2","1789","57.7","8.5"
"44","Louisiana","31","19-12","2421","78.1","2167","69.9","8.2"
"45","Green Bay","32","24-8","2196","68.6","1937","60.5","8.1"
"46","Iowa","31","21-10","2163","69.8","1913","61.7","8.1"
"47","Rhode Island","29","21-8","1956","67.4","1723","59.4","8.0"
"48","Dayton","30","23-7","2055","68.5","1816","60.5","8.0"
"49","North Florida","34","23-11","2574","75.7","2304","67.8","7.9"
"50","Texas","31","19-12","2110","68.1","1871","60.4","7.7"
"51","West Virginia","31","23-8","2296","74.1","2059","66.4","7.6"
"52","Yale","31","22-9","2113","68.2","1878","60.6","7.6"
"53","Cincinnati","31","22-9","1942","62.6","1712","55.2","7.4"
"54","UC Davis","29","24-5","2070","71.4","1859","64.1","7.3"
"55","Wofford","34","28-6","2278","67.0","2033","59.8","7.2"
"56","Eastern Wash.","31","23-8","2495","80.5","2273","73.3","7.2"
"57","Harvard","28","21-7","1808","64.6","1609","57.5","7.1"
"58","Illinois","31","19-12","2168","69.9","1948","62.8","7.1"
"59","Kansas","31","24-7","2229","71.9","2018","65.1","6.8"
"60","Iona","34","26-8","2707","79.6","2476","72.8","6.8"
"61","Xavier","31","19-12","2317","74.7","2107","68.0","6.8"
