 


  
  

NCAA Men's Basketball
Division IScoring Margin
Through Games 03/16/2008


"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","Kansas","34","31-3","2771","81.5","2095","61.6","19.9"
"2","Memphis","34","33-1","2709","79.7","2061","60.6","19.1"
"3","North Carolina","34","32-2","3016","88.7","2473","72.7","16.0"
"4","Davidson","32","26-6","2517","78.7","2013","62.9","15.8"
"5","UCLA","34","31-3","2519","74.1","2009","59.1","15.0"
"6","Duke","32","27-5","2692","84.1","2218","69.3","14.8"
"7","Wisconsin","33","29-4","2222","67.3","1774","53.8","13.6"
"8","Gonzaga","32","25-7","2448","76.5","2024","63.3","13.3"
"9","Xavier","33","27-6","2486","75.3","2057","62.3","13.0"
"10","Tennessee","33","29-4","2738","83.0","2312","70.1","12.9"
"11","Saint Mary's (CA)","31","25-6","2357","76.0","1959","63.2","12.8"
"12","Drake","32","28-4","2341","73.2","1949","60.9","12.3"
"13","West Virginia","34","24-10","2546","74.9","2141","63.0","11.9"
"14","New Mexico","32","24-8","2380","74.4","2001","62.5","11.8"
"15","SFA","31","26-5","2091","67.5","1725","55.6","11.8"
"16","Georgetown","32","27-5","2231","69.7","1855","58.0","11.8"
"17","Marquette","33","24-9","2503","75.8","2121","64.3","11.6"
"18","Western Ky.","33","27-6","2534","76.8","2153","65.2","11.5"
"19","IUPUI","33","26-7","2510","76.1","2132","64.6","11.5"
"20","Texas","34","28-6","2570","75.6","2194","64.5","11.1"
"21","BYU","34","27-7","2518","74.1","2146","63.1","10.9"
"22","South Alabama","32","26-6","2417","75.5","2077","64.9","10.6"
"23","Louisville","32","24-8","2302","71.9","1963","61.3","10.6"
"","Butler","32","29-3","2187","68.3","1848","57.8","10.6"
"25","Indiana","32","25-7","2404","75.1","2070","64.7","10.4"
"26","Notre Dame","31","24-7","2499","80.6","2186","70.5","10.1"
"27","Stanford","33","26-7","2332","70.7","2000","60.6","10.1"
"28","Washington St.","32","24-8","2146","67.1","1826","57.1","10.0"
"29","Clemson","33","24-9","2624","79.5","2297","69.6","9.9"
"30","Cal St. Fullerton","32","24-8","2644","82.6","2327","72.7","9.9"
"31","Kansas St.","31","20-11","2439","78.7","2135","68.9","9.8"
"32","Texas A&M","34","24-10","2432","71.5","2103","61.9","9.7"
"33","Florida","32","21-11","2500","78.1","2195","68.6","9.5"
"34","Michigan St.","33","25-8","2353","71.3","2046","62.0","9.3"
"35","Sam Houston St.","31","23-8","2192","70.7","1909","61.6","9.1"
"36","UConn","32","24-8","2487","77.7","2196","68.6","9.1"
"37","Cornell","27","22-5","2083","77.1","1840","68.1","9.0"
"","VCU","31","24-7","2080","67.1","1801","58.1","9.0"
"39","Pittsburgh","35","26-9","2595","74.1","2282","65.2","8.9"
"40","Houston","31","22-9","2441","78.7","2171","70.0","8.7"
"41","High Point","31","17-14","2201","71.0","1944","62.7","8.3"
"42","Duquesne","30","17-13","2470","82.3","2223","74.1","8.2"
"43","Mississippi St.","32","22-10","2339","73.1","2082","65.1","8.0"
"44","UNLV","33","26-7","2313","70.1","2048","62.1","8.0"
"45","Lamar University","30","19-11","2445","81.5","2206","73.5","8.0"
"46","Oral Roberts","32","24-8","2219","69.3","1965","61.4","7.9"
"47","Kent St.","34","28-6","2354","69.2","2094","61.6","7.6"
"48","George Mason","33","23-10","2306","69.9","2056","62.3","7.6"
"49","New Mexico St.","35","21-14","2793","79.8","2528","72.2","7.6"
"50","Purdue","32","24-8","2199","68.7","1958","61.2","7.5"
"51","Akron","33","23-10","2351","71.2","2105","63.8","7.5"
"","Winthrop","33","22-11","2165","65.6","1919","58.2","7.5"
"53","UAB","32","22-10","2372","74.1","2136","66.8","7.4"
"54","Baylor","31","21-10","2522","81.4","2306","74.4","7.0"
"55","Miami (FL)","32","22-10","2392","74.8","2170","67.8","6.9"
"56","CSUN","30","20-10","2340","78.0","2132","71.1","6.9"
"57","Robert Morris","33","26-7","2469","74.8","2242","67.9","6.9"
"58","Portland St.","32","23-9","2377","74.3","2160","67.5","6.8"
"59","Creighton","31","21-10","2232","72.0","2022","65.2","6.8"
"60","Ole Miss","31","21-10","2463","79.5","2256","72.8","6.7"
"61","Boise St.","33","25-8","2706","82.0","2488","75.4","6.6"
"","Belmont","33","25-8","2644","80.1","2426","73.5","6.6"
"","Arkansas","33","22-11","2430","73.6","2212","67.0","6.6"
"64","Alabama St.","30","20-10","2149","71.6","1952","65.1","6.6"
"65","Nebraska","31","19-12","2072","66.8","1869","60.3","6.5"
"66","North Texas","31","20-11","2385","76.9","2184","70.5","6.5"
"67","Rider","33","23-10","2545","77.1","2332","70.7","6.5"
"","Illinois St.","33","24-9","2177","66.0","1964","59.5","6.5"
"69","Rhode Island","32","21-11","2585","80.8","2382","74.4","6.3"
"70","UMBC","31","24-8","2321","74.9","2127","68.6","6.3"
"71","Morgan St.","32","22-10","2165","67.7","1965","61.4","6.3"
"72","Vanderbilt","33","26-7","2659","80.6","2454","74.4","6.2"
"73","Saint Joseph's","33","21-12","2420","73.3","2220","67.3","6.1"
"74","Utah St.","34","24-10","2528","74.4","2324","68.4","6.0"
"75","UC Santa Barbara","31","23-8","2164","69.8","1980","63.9","5.9"
"76","Southern California","32","21-11","2210","69.1","2022","63.2","5.9"
"77","Ohio St.","32","19-13","2147","67.1","1961","61.3","5.8"
"78","Pacific","31","21-10","2237","72.2","2058","66.4","5.8"
"79","Siena","32","22-10","2458","76.8","2274","71.1","5.8"
"80","Massachusetts","31","21-10","2542","82.0","2366","76.3","5.7"
"81","Southern Miss.","33","19-14","2388","72.4","2202","66.7","5.6"
"82","UNC Asheville","32","23-9","2413","75.4","2234","69.8","5.6"
"83","Minnesota","33","20-13","2264","68.6","2082","63.1","5.5"
"84","UT Arlington","32","21-11","2359","73.7","2187","68.3","5.4"
"85","Arizona","33","19-14","2378","72.1","2201","66.7","5.4"
"86","Southeastern La.","30","17-13","2030","67.7","1872","62.4","5.3"
"87","Tulsa","33","20-13","2326","70.5","2153","65.2","5.2"
"88","Oklahoma","33","22-11","2258","68.4","2092","63.4","5.0"
"89","Utah","31","17-14","2121","68.4","1966","63.4","5.0"
"90","Nevada","32","21-11","2409","75.3","2250","70.3","5.0"
"91","Arizona St.","31","19-12","2085","67.3","1932","62.3","4.9"
"92","Missouri","32","16-16","2468","77.1","2312","72.3","4.9"
"93","Western Mich.","32","20-12","2231","69.7","2080","65.0","4.7"
"94","Syracuse","32","19-13","2513","78.5","2367","74.0","4.6"
"95","Virginia Tech","32","19-13","2215","69.2","2073","64.8","4.4"
"96","Oregon","31","18-13","2381","76.8","2245","72.4","4.4"
"97","Brown","28","19-9","1923","68.7","1801","64.3","4.4"
"98","Northern Ariz.","32","21-11","2333","72.9","2194","68.6","4.3"
"99","San Diego St.","32","20-12","2155","67.3","2017","63.0","4.3"
"100","UNC Greensboro","31","19-12","2194","70.8","2061","66.5","4.3"
"101","UCF","31","16-15","2269","73.2","2139","69.0","4.2"
"102","Dayton","31","21-10","2133","68.8","2005","64.7","4.1"
"103","VMI","29","14-15","2649","91.3","2530","87.2","4.1"
"104","Temple","33","21-12","2396","72.6","2263","68.6","4.0"
"105","Valparaiso","34","21-13","2419","71.1","2282","67.1","4.0"
"106","Murray St.","31","18-13","2262","73.0","2140","69.0","3.9"
"107","Austin Peay","34","24-10","2536","74.6","2403","70.7","3.9"
"108","Cleveland St.","33","21-12","2224","67.4","2095","63.5","3.9"
"109","UTEP","32","19-13","2458","76.8","2334","72.9","3.9"
"110","Maryland","32","18-14","2343","73.2","2227","69.6","3.6"
"111","Ga. Southern","32","20-12","2400","75.0","2286","71.4","3.6"
"112","Villanova","32","20-12","2331","72.8","2218","69.3","3.5"
"113","Niagara","29","19-10","2219","76.5","2119","73.1","3.4"
"114","Little Rock","31","20-11","2024","65.3","1920","61.9","3.4"
"115","Florida St.","33","19-14","2391","72.5","2281","69.1","3.3"
"116","American","32","21-11","2083","65.1","1977","61.8","3.3"
"117","Kentucky","30","18-12","2058","68.6","1960","65.3","3.3"
"118","UIC","33","18-15","2246","68.1","2143","64.9","3.1"
"119","UTRGV","31","18-13","2285","73.7","2193","70.7","3.0"
"","Southern Ill.","31","17-14","1945","62.7","1853","59.8","3.0"
"121","Charlotte","33","20-13","2318","70.2","2224","67.4","2.8"
"122","Wake Forest","30","17-13","2166","72.2","2081","69.4","2.8"
"123","Ohio","31","19-12","2081","67.1","1994","64.3","2.8"
"124","Liberty","32","16-16","2222","69.4","2133","66.7","2.8"
"125","Oakland","31","17-14","2369","76.4","2283","73.6","2.8"
"126","Montana","30","14-16","2081","69.4","1998","66.6","2.8"
"127","Missouri St.","33","17-16","2236","67.8","2146","65.0","2.7"
"128","Chattanooga","31","18-13","2344","75.6","2260","72.9","2.7"
"129","Navy","30","16-14","2289","76.3","2208","73.6","2.7"
"130","Mt. St. Mary's","32","18-14","2210","69.1","2128","66.5","2.6"
"131","Hampton","30","18-12","1955","65.2","1879","62.6","2.5"
"132","Illinois","35","16-19","2227","63.6","2139","61.1","2.5"
"133","Oklahoma St.","32","17-15","2204","68.9","2124","66.4","2.5"
"134","Washington","32","16-16","2345","73.3","2266","70.8","2.5"
"","Miami (OH)","32","17-15","2017","63.0","1938","60.6","2.5"
"136","Alabama","33","17-16","2484","75.3","2404","72.8","2.4"
"137","Wright St.","31","21-10","1944","62.7","1871","60.4","2.4"
"138","Old Dominion","32","17-15","2119","66.2","2044","63.9","2.3"
"139","Virginia","30","15-15","2304","76.8","2234","74.5","2.3"
"140","San Diego","34","21-13","2232","65.6","2155","63.4","2.3"
"141","Vermont","31","16-15","2241","72.3","2173","70.1","2.2"
"142","UC Irvine","34","18-16","2311","68.0","2237","65.8","2.2"
"143","Appalachian St.","31","18-13","2214","71.4","2147","69.3","2.2"
"144","New Orleans","32","19-13","2352","73.5","2287","71.5","2.0"
"","UNI","32","18-14","1996","62.4","1931","60.3","2.0"
"146","Bradley","32","17-15","2345","73.3","2282","71.3","2.0"
"147","California","31","16-15","2397","77.3","2339","75.5","1.9"
"148","Albany (NY)","30","15-15","2048","68.3","1992","66.4","1.9"
"149","Santa Clara","31","15-16","1953","63.0","1903","61.4","1.6"
"150","Marshall","30","16-14","2018","67.3","1971","65.7","1.6"
"151","Georgia Tech","32","15-17","2482","77.6","2432","76.0","1.6"
"","Gardner-Webb","32","16-16","2465","77.0","2415","75.5","1.6"
"153","Air Force","30","16-14","1760","58.7","1715","57.2","1.5"
"154","ETSU","32","19-13","2514","78.6","2470","77.2","1.4"
"155","Central Conn. St.","30","14-16","2095","69.8","2054","68.5","1.4"
"156","Lipscomb","31","15-16","2216","71.5","2175","70.2","1.3"
"157","UNCW","33","20-13","2397","72.6","2356","71.4","1.2"
"158","South Carolina","32","14-18","2314","72.3","2276","71.1","1.2"
"159","Marist","32","18-14","2237","69.9","2200","68.8","1.2"
"160","Georgia","33","17-16","2253","68.3","2217","67.2","1.1"
"161","Lafayette","30","15-15","2247","74.9","2219","74.0","0.9"
"162","Holy Cross","29","15-14","1781","61.4","1754","60.5","0.9"
"163","Loyola Maryland","33","19-14","2365","71.7","2336","70.8","0.9"
"164","Weber St.","30","16-14","1993","66.4","1970","65.7","0.8"
"165","LIU Brooklyn","30","15-15","2172","72.4","2151","71.7","0.7"
"166","Tennessee Tech","32","13-19","2410","75.3","2390","74.7","0.6"
"167","Wagner","31","23-8","2217","71.5","2198","70.9","0.6"
"","Texas Tech","31","16-15","2166","69.9","2147","69.3","0.6"
"169","Colgate","32","18-14","2095","65.5","2076","64.9","0.6"
"170","Providence","31","15-16","2253","72.7","2237","72.2","0.5"
"171","Montana St.","30","15-15","2180","72.7","2167","72.2","0.4"
"172","Sacred Heart","32","18-14","2300","71.9","2287","71.5","0.4"
"173","Wofford","32","16-16","2147","67.1","2136","66.8","0.3"
"174","UT Martin","33","17-16","2560","77.6","2551","77.3","0.3"
"175","TCU","30","14-16","2037","67.9","2034","67.8","0.1"
"176","Col. of Charleston","33","16-17","2391","72.5","2388","72.4","0.1"
"177","South Fla.","31","12-19","2132","68.8","2135","68.9","-0.1"
