"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","Gonzaga","31","28-3","2536","81.8","2052","66.2","15.6"
"2","Saint Joseph's","32","30-2","2476","77.4","1994","62.3","15.1"
"3","UConn","39","33-6","3073","78.8","2493","63.9","14.9"
"4","Duke","37","31-6","2954","79.8","2406","65.0","14.8"
"5","Oklahoma St.","35","31-4","2698","77.1","2188","62.5","14.6"
"6","Stanford","32","30-2","2356","73.6","1936","60.5","13.1"
"7","Cincinnati","32","25-7","2455","76.7","2056","64.3","12.5"
"8","Western Mich.","31","26-5","2434","78.5","2049","66.1","12.4"
"9","Troy","31","24-7","2624","84.6","2253","72.7","12.0"
"10","Louisville","30","20-10","2195","73.2","1846","61.5","11.6"
"11","Pittsburgh","36","31-5","2446","67.9","2031","56.4","11.5"
"12","Wisconsin","32","25-7","2190","68.4","1823","57.0","11.5"
"13","Murray St.","34","28-6","2730","80.3","2342","68.9","11.4"
"14","Utah St.","29","25-4","2009","69.3","1684","58.1","11.2"
"15","Mississippi St.","30","26-4","2318","77.3","1997","66.6","10.7"
"16","SFA","30","21-9","2138","71.3","1821","60.7","10.6"
"17","Manhattan","31","25-6","2311","74.5","1984","64.0","10.5"
"18","Kentucky","32","27-5","2365","73.9","2036","63.6","10.3"
"19","Texas","33","25-8","2529","76.6","2195","66.5","10.1"
"20","UTEP","32","24-8","2479","77.5","2161","67.5","9.9"
"21","ETSU","33","27-6","2618","79.3","2291","69.4","9.9"
"22","Illinois","33","26-7","2402","72.8","2077","62.9","9.8"
"23","Saint Mary's (CA)","31","19-12","2377","76.7","2082","67.2","9.5"
"24","Nevada","34","25-9","2579","75.9","2257","66.4","9.5"
"25","Georgia Tech","38","28-10","2911","76.6","2552","67.2","9.4"
"26","Ga. Southern","29","21-8","2337","80.6","2066","71.2","9.3"
"27","Air Force","29","22-7","1737","59.9","1475","50.9","9.0"
"28","Birmingham-So.","27","20-7","1998","74.0","1760","65.2","8.8"
"29","Kent St.","31","22-9","2256","72.8","1987","64.1","8.7"
"30","Arizona","30","20-10","2614","87.1","2354","78.5","8.7"
"31","Kansas","33","24-9","2503","75.8","2218","67.2","8.6"
"32","UCF","31","25-6","2181","70.4","1916","61.8","8.5"
"33","Vanderbilt","33","23-10","2414","73.2","2146","65.0","8.1"
"34","Louisiana","29","20-9","2234","77.0","2000","69.0","8.1"
"35","Southern Ill.","30","25-5","2131","71.0","1889","63.0","8.1"
"36","Xavier","37","26-11","2635","71.2","2339","63.2","8.0"
"37","Mississippi Val.","29","22-7","1979","68.2","1750","60.3","7.9"
"38","Penn","27","17-10","1929","71.4","1717","63.6","7.9"
"39","NC State","31","21-10","2261","72.9","2018","65.1","7.8"
"40","BYU","30","21-9","2200","73.3","1966","65.5","7.8"
"41","Nebraska","31","18-13","2184","70.5","1949","62.9","7.6"
"42","Charlotte","30","21-9","2374","79.1","2148","71.6","7.5"
"43","Belmont","30","21-9","2171","72.4","1947","64.9","7.5"
"44","South Carolina","34","23-11","2383","70.1","2130","62.6","7.4"
"45","Wake Forest","31","21-10","2590","83.5","2360","76.1","7.4"
"46","North Carolina","30","19-11","2464","82.1","2243","74.8","7.4"
"47","Utah","33","24-9","2134","64.7","1893","57.4","7.3"
"48","Memphis","30","22-8","2172","72.4","1959","65.3","7.1"
"49","Florida","31","20-11","2369","76.4","2149","69.3","7.1"
"50","Boston U.","29","23-6","1930","66.6","1726","59.5","7.0"
"51","VCU","31","23-8","2202","71.0","1986","64.1","7.0"
"52","Wichita St.","32","21-11","2297","71.8","2076","64.9","6.9"
"53","Chattanooga","30","19-11","2463","82.1","2260","75.3","6.8"
"54","Providence","29","20-9","2060","71.0","1867","64.4","6.7"
"55","Creighton","29","20-9","1984","68.4","1792","61.8","6.6"
"56","Texas Tech","34","23-11","2490","73.2","2269","66.7","6.5"
"57","UIC","32","24-8","2223","69.5","2016","63.0","6.5"
"58","Seton Hall","31","21-10","2228","71.9","2028","65.4","6.5"
"59","Little Rock","29","17-12","2081","71.8","1895","65.3","6.4"
"60","Niagara","32","22-10","2611","81.6","2406","75.2","6.4"
"61","Florida St.","33","19-14","2359","71.5","2148","65.1","6.4"
"62","Georgia St.","29","20-9","2169","74.8","1984","68.4","6.4"
"63","Furman","29","17-12","2123","73.2","1940","66.9","6.3"
"64","Boise St.","33","23-10","2431","73.7","2227","67.5","6.2"
"65","UAB","32","22-10","2414","75.4","2218","69.3","6.1"
"66","Princeton","28","20-8","1760","62.9","1591","56.8","6.0"
"67","IUPUI","32","21-11","2504","78.3","2313","72.3","6.0"
"68","Milwaukee","31","20-11","2395","77.3","2212","71.4","5.9"
"69","Maine","30","20-10","2056","68.5","1881","62.7","5.8"
"70","Col. of Charleston","29","20-9","2134","73.6","1966","67.8","5.8"
"71","Michigan","34","23-11","2341","68.9","2150","63.2","5.6"
"72","Syracuse","31","23-8","2265","73.1","2096","67.6","5.5"
"73","Detroit Mercy","30","19-11","1948","64.9","1787","59.6","5.4"
"74","Pacific","33","25-8","2272","68.8","2097","63.5","5.3"
"75","Western Ky.","28","15-13","2137","76.3","1989","71.0","5.3"
"76","Maryland","32","20-12","2477","77.4","2308","72.1","5.3"
"77","Southeastern La.","29","20-9","2132","73.5","1982","68.3","5.2"
"78","Austin Peay","32","22-10","2098","65.6","1935","60.5","5.1"
"79","Richmond","33","20-13","2129","64.5","1964","59.5","5.0"
"80","George Washington","30","18-12","2251","75.0","2103","70.1","4.9"
"81","Boston College","34","24-10","2312","68.0","2148","63.2","4.8"
"82","Drexel","29","18-11","2113","72.9","1975","68.1","4.8"
"83","Oral Roberts","28","17-11","2265","80.9","2133","76.2","4.7"
"84","Western Caro.","28","13-15","2092","74.7","1966","70.2","4.5"
"","Holy Cross","28","13-15","1767","63.1","1641","58.6","4.5"
"86","Auburn","28","14-14","1960","70.0","1836","65.6","4.4"
"87","East Carolina","27","13-14","1905","70.6","1786","66.1","4.4"
"88","Arkansas St.","28","17-11","2078","74.2","1957","69.9","4.3"
"89","Bucknell","29","14-15","1883","64.9","1759","60.7","4.3"
"90","UNI","31","21-10","2147","69.3","2015","65.0","4.3"
"","Oklahoma","31","20-11","2057","66.4","1925","62.1","4.3"
"","Purdue","31","17-14","2012","64.9","1880","60.6","4.3"
"93","Rice","33","22-11","2446","74.1","2310","70.0","4.1"
