 


  
  

NCAA Men's Basketball
Division ITotal Minutes
Through Games 04/02/2016


"Rank","Name","Team","Cl","Ht","Pos","G","MP"
"1","Michael Gbinije","Syracuse","Sr.","6-7","F","37","1403:00"
"2","Trevor Cooney","Syracuse","Sr.","6-4","G","37","1347:00"
"3","Deandre Bembry","Saint Joseph's","Jr.","6-6","G","36","1341:00"
"4","Trey Freeman","Old Dominion","Sr.","6-2","G","38","1333:00"
"5","Monté Morris","Iowa St.","Jr.","6-2","G","35","1331:00"
"6","Damon Lynn","NJIT","Jr.","5-11","G","35","1323:00"
"7","Grayson Allen","Duke","So.","6-5","G","36","1317:00"
"8","Buddy Hield","Oklahoma","Sr.","6-4","G","37","1309:00"
"9","Emmett Naar","Saint Mary's (CA)","So.","6-1","G","35","1301:00"
"10","Steve Vasturia","Notre Dame","Jr.","6-5","G","36","1300:00"
"11","Joe Rahon","Saint Mary's (CA)","Jr.","6-2","G","35","1293:00"
"12","Tyler Ulis","Kentucky","So.","5-9","G","35","1288:00"
"13","Kevin Larsen","George Washington","Sr.","6-10","F","38","1287:00"
"14","Kahlil Felder","Oakland","Jr.","5-9","G","35","1286:00"
"15","Marvelle Harris","Fresno St.","Sr.","6-4","G","35","1284:00"
"16","D.J. Fenner","Nevada","Jr.","6-6","G","38","1283:00"
"17","Juan'Ya Green","Hofstra","Sr.","6-2","G","34","1282:00"
"18","Anthony 'Cat' Barber","NC State","Jr.","6-2","G","33","1278:00"
"19","Jaaron Simmons","Ohio","So.","6-1","G","35","1276:00"
"20","Frank Mason","Kansas","Jr.","5-11","G","38","1272:00"
"","Malachi Richardson","Syracuse","Fr.","6-6","G","37","1272:00"
"22","Nigel Hayes","Wisconsin","Jr.","6-8","F","35","1267:00"
"","Jamal Murray","Kentucky","Fr.","6-4","G","36","1267:00"
"24","Matt Bohannon","UNI","Sr.","6-4","G","36","1265:00"
"25","Malcolm Brogdon","Virginia","Sr.","6-5","G","37","1263:00"
"","David Walker","Northeastern","Sr.","6-6","G","33","1263:00"
"27","D.J. Balentine","Evansville","Sr.","6-2","G","34","1261:00"
"28","Demetrius Jackson","Notre Dame","Jr.","6-1","G","35","1259:00"
"29","Chase Fischer","BYU","Sr.","6-3","G","37","1257:00"
"30","Christopher Hyder","Southern U.","Sr.","5-11","G","35","1256:00"
"31","Nick Coppola","La.-Monroe","Jr.","5-11","G","34","1252:00"
"32","John Papale","Boston U.","Sr.","6-3","G","34","1251:00"
"33","Kyle Collinsworth","BYU","Sr.","6-6","G","37","1249:00"
"34","Dillon Brooks","Oregon","So.","6-7","F","38","1247:00"
"35","Brandon Ingram","Duke","Fr.","6-9","F","36","1246:00"
"36","Ryan Arcidiacono","Villanova","Sr.","6-3","G","39","1245:00"
"37","Wes Washpun","UNI","Sr.","6-1","G","36","1241:00"
"38","Isaiah Miles","Saint Joseph's","Sr.","6-7","F","36","1239:00"
"39","Devonte' Graham","Kansas","So.","6-2","G","38","1238:00"
"40","Austin McBroom","Eastern Wash.","Sr.","6-0","G","33","1235:00"
"41","Isaiah Cousins","Oklahoma","Sr.","6-4","G","37","1234:00"
"42","Max Landis","Purdue Fort Wayne","Sr.","6-2","G","33","1228:00"
"","Josh Robinson","Austin Peay","So.","6-3","G","36","1228:00"
"44","Brian Bernardi","Hofstra","Jr.","6-2","G","34","1225:00"
"","Jeremy Senglin","Weber St.","Jr.","6-2","G","35","1225:00"
"46","Bronson Koenig","Wisconsin","Jr.","6-3","G","35","1222:00"
"47","Derrick Colter","Duquesne","Sr.","5-11","G","34","1220:00"
"48","Patricio Garino","George Washington","Sr.","6-6","G","38","1217:00"
"","Josh Hart","Villanova","Jr.","6-5","G","39","1217:00"
"50","Kevin Yogi Ferrell","Indiana","Sr.","6-0","G","35","1215:00"
"","Ryan Spangler","Oklahoma","Sr.","6-8","F","37","1215:00"
"52","Elgin Cook","Oregon","Sr.","6-6","F","38","1213:00"
"","Chris Horton","Austin Peay","Sr.","6-8","C","36","1213:00"
"54","John Konchar","Purdue Fort Wayne","Fr.","6-5","G","34","1211:00"
"","Denton Koon","Hofstra","Sr.","6-8","F","34","1211:00"
"","Dallas Moore","North Florida","Jr.","6-1","G","34","1211:00"
"57","Kyle Wiltjer","Gonzaga","Sr.","6-10","F","36","1209:00"
"58","Jordan Potts","Bethune-Cookman","Jr.","5-10","G","32","1207:00"
"59","Yonel Brown","Kennesaw St.","Sr.","5-9","G","31","1203:00"
"60","Ben Bentil","Providence","So.","6-9","F","35","1198:00"
"61","Malcolm Hill","Illinois","Jr.","6-6","G","34","1195:00"
"62","Josh Brown","Temple","Jr.","6-3","G","33","1194:00"
"63","Joel Berry II","North Carolina","So.","6-0","G","39","1191:00"
"64","Marc Loving","Ohio St.","Jr.","6-7","F","35","1189:00"
"65","Rasheed Sulaimon","Maryland","Sr.","6-4","G","36","1187:00"
"66","Alec Peters","Valparaiso","Jr.","6-9","F","37","1186:00"
"67","Sterling Gibbs","UConn","Sr.","6-2","G","36","1185:00"
"68","Tre Demps","Northwestern","Sr.","6-2","G","32","1184:00"
"","Justin Robinson","Monmouth","Jr.","5-8","G","36","1184:00"
"","Brandon Taylor","Utah","Sr.","5-10","G","36","1184:00"
"71","Ameen Tanksley","Hofstra","Sr.","6-5","G","34","1180:00"
"","Melo Trimble","Maryland","So.","6-3","G","36","1180:00"
"73","Luke Nelson","UC Irvine","Jr.","6-3","G","38","1178:00"
"74","Micah Mason","Duquesne","Sr.","6-2","G","33","1177:00"
"75","Matt Thomas","Iowa St.","Jr.","6-3","G","35","1176:00"
"76","Carrington Love","Green Bay","Sr.","6-1","G","36","1174:00"
"","Trent Mackey","North Florida","Sr.","6-3","G","34","1174:00"
"78","Jesse Reed","American","Sr.","6-5","G","31","1173:00"
"","Pascal Siakam","New Mexico St.","So.","6-9","F","34","1173:00"
"80","Jordan Price","La Salle","Jr.","6-5","G","31","1170:00"
"81","Tyler Nelson","Fairfield","So.","6-3","G","33","1169:00"
"82","Mike Brown","Western Caro.","Sr.","6-3","G","34","1168:00"
"","Teddy Okereafor","Rider","Sr.","6-4","G","33","1168:00"
"","D'Vauntes Smith-Rivera","Georgetown","Sr.","6-3","G","33","1168:00"
"85","Marcus Georges-Hunt","Georgia Tech","Sr.","6-5","G","36","1167:00"
"","Alex Hamilton","Louisiana Tech","Sr.","6-4","G","33","1167:00"
"87","Jeremy Morgan","UNI","Jr.","6-5","G","36","1164:00"
"88","Georges Niang","Iowa St.","Sr.","6-7","F","35","1162:00"
"","London Perrantes","Virginia","Jr.","6-2","G","35","1162:00"
"90","Kori Babineaux","Jacksonville","Sr.","6-4","G","32","1161:00"
"","Jordan Johnson","Milwaukee","Jr.","5-11","G","33","1161:00"
"","Jahmal McMurray","South Fla.","Fr.","6-0","G","33","1161:00"
"93","Bryce Alford","UCLA","Jr.","6-3","G","32","1160:00"
"94","Tyler Cavanaugh","George Washington","Jr.","6-9","F","38","1157:00"
"","Kevin Vannatta","UNC Asheville","So.","6-3","G","34","1157:00"
"96","Marcus Posley","St. Bonaventure","Sr.","6-1","G","31","1154:00"
"97","Reginald Johnson","Hampton","Sr.","6-2","G","32","1153:00"
"98","T.J. Cromer","ETSU","Jr.","6-3","G","36","1152:00"
"99","Zak Irvin","Michigan","Jr.","6-6","G","35","1151:00"
"","Sheldon McClellan","Miami (FL)","Sr.","6-5","G","35","1151:00"
"","Ben Simmons","LSU","Fr.","6-10","F","33","1151:00"
"102","Tyron Criswell","Nevada","Sr.","6-3","G","38","1150:00"
"","Perry Ellis","Kansas","Sr.","6-8","F","38","1150:00"
"","Dion Wright","St. Bonaventure","Sr.","6-7","F","31","1150:00"
"105","Andrew Andrews","Washington","Sr.","6-2","G","34","1149:00"
"","Rodney Bullock","Providence","So.","6-8","F","35","1149:00"
"107","Marc-Eddy Norelia","FGCU","Jr.","6-8","F","35","1148:00"
"108","Daniel Hamilton","UConn","So.","6-7","F","36","1147:00"
"109","Domantas Sabonis","Gonzaga","So.","6-10","F","36","1146:00"
"","John Simons","Central Mich.","Sr.","6-8","F","33","1146:00"
"111","Maodo Lo","Columbia","Sr.","6-3","G","35","1144:00"
"112","Peyton Aldridge","Davidson","So.","6-7","F","33","1143:00"
"","Dorian Finney-Smith","Florida","Sr.","6-8","F","36","1143:00"
"114","Bryant McIntosh","Northwestern","So.","6-3","G","32","1142:00"
"115","Ge'Lawn Guyn","ETSU","Sr.","6-2","G","35","1141:00"
"116","Quenton DeCosey","Temple","Sr.","6-6","G","33","1140:00"
"","Tyler Roberson","Syracuse","Jr.","6-8","F","37","1140:00"
"118","Dejounte Murray","Washington","Fr.","6-5","G","34","1139:00"
"119","Justin Bibbs","Virginia Tech","So.","6-5","G","35","1137:00"
"","Jordan Fouse","Green Bay","Sr.","6-7","G","36","1137:00"
"","Cleon Roberts","La Salle","Jr.","6-6","G","31","1137:00"
"","Jared Terrell","Rhode Island","So.","6-3","G","32","1137:00"
"123","Quinton Hooker","North Dakota","Jr.","6-0","G","32","1136:00"
"124","Melvin Johnson","VCU","Sr.","6-3","G","36","1134:00"
"","Shane McLaughlin","Bryant","Sr.","6-1","G","31","1134:00"
"","Wayne Selden Jr.","Kansas","Jr.","6-5","G","38","1134:00"
"127","A.J. Jacobson","North Dakota St.","So.","6-6","G","33","1133:00"
"","Gabe York","Arizona","Sr.","6-3","G","34","1133:00"
"129","Nick Emery","BYU","Fr.","6-2","G","36","1132:00"
"","Malcolm McMillan","Canisius","Sr.","6-0","G","33","1132:00"
"131","Alex Anderson","UT Martin","Sr.","5-11","G","35","1131:00"
"","Trelun Banks","Southern U.","Jr.","6-1","G","33","1131:00"
"","Terrell Lewis","Eastern Ill.","So.","5-7","G","30","1131:00"
"","Braxton Ogbueze","Charlotte","Jr.","6-1","G","33","1131:00"
"","Adrian Rodgers","Southern U.","Sr.","6-4","G","35","1131:00"
"136","Jake Layman","Maryland","Sr.","6-8","F","36","1130:00"
"137","Brett Bisping","Siena","Jr.","6-8","F","34","1129:00"
"","Khalil Davis","Austin Peay","Sr.","6-5","G","36","1129:00"
"","Twymond Howard","UT Martin","Sr.","6-6","F","34","1129:00"
"140","Diante Baldwin","UNC Greensboro","Jr.","6-0","G","34","1128:00"
"","Bogdan Bliznyuk","Eastern Wash.","So.","6-6","F","34","1128:00"
"","Isaac Hamilton","UCLA","Jr.","6-4","G","32","1128:00"
"","Justin Roberson","La.-Monroe","Sr.","6-1","G","34","1128:00"
"144","Shep Garner","Penn St.","So.","6-2","G","32","1127:00"
"145","V.J. Beachem","Notre Dame","Jr.","6-8","F","36","1126:00"
"","Majok Deng","La.-Monroe","Sr.","6-10","F","31","1126:00"
"147","Jaylen Adams","St. Bonaventure","So.","6-5","G","30","1125:00"
"","Shane Richards","Manhattan","Sr.","6-5","F","31","1125:00"
"","Sindarius Thornwell","South Carolina","Jr.","6-5","G","34","1125:00"
"150","Cane Broome","Sacred Heart","So.","6-0","G","30","1124:00"
"151","Kyle Dranginis","Gonzaga","Sr.","6-5","G","36","1123:00"
"","Chris Thomas","Texas Southern","Sr.","6-6","G","33","1123:00"
"153","Ahmad Abdullah","N.C. A&T","Sr.","6-0","G","32","1122:00"
"","Martin Hermannsson","LIU Brooklyn","So.","6-3","G","31","1122:00"
"","Tyler Lydon","Syracuse","Fr.","6-9","F","37","1122:00"
"156","Kassius Robertson","Canisius","So.","6-3","G","33","1121:00"
"157","Jaylen Bland","UC Riverside","Sr.","6-3","G","33","1120:00"
"158","Malachi Alexander","Holy Cross","Jr.","6-7","F","35","1118:00"
"","Cameron Oliver","Nevada","Fr.","6-8","F","38","1118:00"
"160","James Daniel III","Howard","Jr.","6-0","G","30","1115:00"
"161","Ian Baker","New Mexico St.","Jr.","6-0","G","34","1114:00"
"","Christen Cunningham","Samford","So.","6-2","G","33","1114:00"
"","Danuel House","Texas A&M","Sr.","6-7","G","36","1114:00"
"","Alex Young","UC Irvine","Sr.","6-2","G","37","1114:00"
"165","Kris Jenkins","Villanova","Jr.","6-6","F","39","1113:00"
"","Matt Jones","Duke","Jr.","6-5","G","35","1113:00"
"","Patrick McCaw","UNLV","So.","6-7","G","33","1113:00"
"","Carson Puriefoy","Stony Brook","Sr.","6-0","G","33","1113:00"
"","Brian Sullivan","Davidson","Sr.","5-11","G","30","1113:00"
"170","Joe De Ciman","Colorado St.","Sr.","6-4","G","34","1112:00"
"","Hayden Graham","Air Force","Jr.","6-6","F","31","1112:00"
"172","Shawndre' Jones","Richmond","Jr.","5-11","G","32","1111:00"
"173","Jared Brownridge","Santa Clara","Jr.","6-2","G","31","1110:00"
"","Dequon Miller","Missouri St.","Jr.","5-10","G","32","1110:00"
"175","Matt Donlan","Youngstown St.","Jr.","6-7","F","32","1109:00"
"","Roosevelt Jones","Butler","Sr.","6-4","F","33","1109:00"
"","Josh Perkins","Gonzaga","Fr.","6-3","G","36","1109:00"
"","Raeford Worsham","Jackson St.","Sr.","6-4","G","35","1109:00"
"179","Devin Carter","Arkansas St.","Jr.","6-5","G","31","1108:00"
"","Jordan Loveridge","Utah","Sr.","6-6","F","36","1108:00"
"","Ethan Telfair","Idaho St.","Jr.","6-0","G","31","1108:00"
"","Derrick Walton Jr.","Michigan","Jr.","6-1","G","33","1108:00"
"183","Ryan Bowie","UTSA","Sr.","6-1","G","32","1107:00"
"","Henry Ellenson","Marquette","Fr.","6-10","F","33","1107:00"
"185","Josh Adams","Wyoming","Sr.","6-2","G","30","1106:00"
"","Ron Baker","Wichita St.","Sr.","6-3","G","35","1106:00"
"","Jeffery Moss","Murray St.","Sr.","6-4","F","31","1106:00"
"188","Johnnie Shuler","La Salle","So.","5-11","G","31","1105:00"
"189","Troy Caupain","Cincinnati","Jr.","6-4","G","33","1104:00"
"190","Lester Medford","Baylor","Sr.","5-10","G","34","1103:00"
"","Anthony Thompson","Holy Cross","Jr.","5-10","G","35","1103:00"
"192","Dikembe Dixson","UIC","Fr.","6-7","F","30","1102:00"
"","Divine Myles","Stetson","So.","5-11","G","34","1102:00"
"","Maverick Rowan","NC State","Fr.","6-7","G","33","1102:00"
"","Jordan Woodard","Oklahoma","Jr.","6-0","G","37","1102:00"
"196","Justin Jackson","North Carolina","So.","6-8","F","39","1101:00"
"","Egor Koulechov","Rice","So.","6-5","F","32","1101:00"
"198","Keon Johnson","Winthrop","Jr.","5-7","G","32","1100:00"
"","Jordan McLaughlin","Southern California","So.","6-1","G","34","1100:00"
"","Dylan Ostekowski","Tulane","So.","6-9","G","34","1100:00"
"","Torrance Rowe","Tennessee Tech","Sr.","6-1","G","31","1100:00"
"","Maurice Watson Jr.","Creighton","Jr.","5-10","G","35","1100:00"
"203","Jack Gibbs","Davidson","Jr.","6-0","G","31","1099:00"
"","Marshall Plumlee","Duke","Sr.","7-0","F","36","1099:00"
"","Zak Showalter","Wisconsin","Jr.","6-3","G","35","1099:00"
"","Evan Singletary","Albany (NY)","Sr.","6-1","G","33","1099:00"
"207","Anthony Beane","Southern Ill.","Sr.","6-2","G","32","1098:00"
"","Adam Smith","Georgia Tech","Sr.","6-1","G","36","1098:00"
"","Isaiah Whitehead","Seton Hall","So.","6-4","G","34","1098:00"
"210","Otis Livingston II","George Mason","Fr.","5-11","G","32","1097:00"
"211","Gary Payton II","Oregon St.","Sr.","6-3","G","32","1096:00"
"212","Isaiah Briscoe","Kentucky","Fr.","6-3","G","34","1094:00"
"213","Jakob Poeltl","Utah","So.","7-0","F","36","1093:00"
"","Rayshawn Simmons","Central Mich.","Sr.","6-4","G","33","1093:00"
"215","Stacy Davis","Pepperdine","Sr.","6-6","F","32","1092:00"
"216","Casey Benson","Oregon","So.","6-3","G","38","1091:00"
"","Paul Jesperson","UNI","Sr.","6-6","G","36","1091:00"
"","Jalen Moore","Utah St.","Jr.","6-9","F","31","1091:00"
"","Reggie Upshaw Jr.","Middle Tenn.","Jr.","6-8","F","35","1091:00"
"220","Darian Anderson","Fairleigh Dickinson","So.","6-1","G","33","1090:00"
"","J.J. Frazier","Georgia","Jr.","5-10","G","34","1090:00"
"","Brice Johnson","North Carolina","Sr.","6-9","F","39","1090:00"
"","Grant Mullins","Columbia","Sr.","6-3","G","35","1090:00"
"224","Daviyon Draper","FIU","Sr.","6-7","F","31","1089:00"
"","Wesley Person","Troy","So.","6-3","G","31","1089:00"
"226","Louis Dabney","Tulane","Sr.","6-3","G","33","1088:00"
"","Kris Dunn","Providence","Jr.","6-4","G","33","1088:00"
"","Kory Holden","Delaware","So.","6-2","G","30","1088:00"
"","Ky Howard","NJIT","Sr.","6-3","G","34","1088:00"
"","Abdel Nader","Iowa St.","Sr.","6-6","F","35","1088:00"
"231","Trey Davis","Massachusetts","Sr.","6-0","G","32","1087:00"
"","Kahron Ross","Lehigh","So.","5-11","G","32","1087:00"
"233","J.C. Hampton","Lipscomb","Jr.","6-1","G","33","1086:00"
"","Jason McManamen","Wyoming","Jr.","6-5","G","31","1086:00"
