NCAA Men's Basketball Division IScoring Margin Through Games 03/10/2018

"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"1","Cincinnati","33","29-4","2476","75.0","1888","57.2","17.8"
"2","Gonzaga","34","30-4","2873","84.5","2282","67.1","17.4"
"3","Michigan St.","33","29-4","2672","81.0","2138","64.8","16.2"
"4","Villanova","34","30-4","2960","87.1","2410","70.9","16.2"
"5","Purdue","34","28-6","2759","81.1","2232","65.6","15.5"
"6","Duke","33","26-7","2795","84.7","2297","69.6","15.1"
"7","Virginia","33","31-2","2229","67.5","1762","53.4","14.2"
"8","Murray St.","31","26-5","2447","78.9","2032","65.5","13.4"
"9","SFA","34","28-6","2759","81.1","2316","68.1","13.0"
"10","Louisiana","33","27-6","2753","83.4","2324","70.4","13.0"
"11","South Dakota","34","26-8","2755","81.0","2314","68.1","13.0"
"12","Houston","32","26-6","2500","78.1","2086","65.2","12.9"
"13","Saint Mary's (CA)","33","28-5","2540","77.0","2128","64.5","12.5"
"14","Northern Ky.","31","22-9","2428","78.3","2046","66.0","12.3"
"15","New Mexico St.","32","28-5","2432","76.0","2046","63.9","12.1"
"16","Wichita St.","32","25-7","2656","83.0","2283","71.3","11.7"
"17","UNC Greensboro","34","27-7","2498","73.5","2121","62.4","11.1"
"18","Michigan","35","28-7","2606","74.5","2224","63.5","10.9"
"19","Furman","33","23-10","2619","79.4","2260","68.5","10.9"
"20","South Dakota St.","34","28-6","2885","84.9","2518","74.1","10.8"
"21","Kansas","34","27-7","2771","81.5","2410","70.9","10.6"
"","West Virginia","34","24-10","2707","79.6","2346","69.0","10.6"
"23","Texas Tech","33","24-9","2483","75.2","2135","64.7","10.5"
"24","Old Dominion","32","25-7","2347","73.3","2010","62.8","10.5"
"25","Utah Valley","32","22-10","2497","78.0","2167","67.7","10.3"
"26","Nevada","34","27-7","2825","83.1","2478","72.9","10.2"
"27","Loyola Chicago","33","28-5","2390","72.4","2054","62.2","10.2"
"28","FGCU","34","23-11","2779","81.7","2435","71.6","10.1"
"29","Creighton","32","21-11","2697","84.3","2375","74.2","10.1"
"","Auburn","32","25-7","2668","83.4","2346","73.3","10.1"
"31","Vermont","34","27-7","2523","74.2","2186","64.3","9.9"
"32","Xavier","33","28-5","2781","84.3","2458","74.5","9.8"
"33","Arizona","34","27-7","2750","80.9","2420","71.2","9.7"
"34","San Diego St.","32","22-10","2480","77.5","2173","67.9","9.6"
"35","Boise St.","31","23-8","2428","78.3","2133","68.8","9.5"
"36","Montana","33","26-7","2578","78.1","2268","68.7","9.4"
